doc_id,file_path,title,platform,audience,category,language,source_url,retrieved_at,document_version,license_or_permission,collection_method
avakids-exchange-policy,data/ecommerce/avakids-exchange-policy.md,Chính sách đổi sản phẩm theo nhóm hàng tại AVAKids,AVAKids,buyer,exchange-policy,vi,https://www.avakids.com/bao-hanh-doi-tra,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
dmx-marketplace-return-rules,data/ecommerce/dmx-marketplace-return-rules.md,Quy định đổi trả trên Sàn TMĐT Điện Máy Xanh,Sàn TMĐT Điện Máy Xanh,both,return-rules,vi,https://www.dienmayxanh.com/quy-che-san-dien-may-xanh,2026-09-20,issued-v1-effective-2025-04-01,public-official-source,manual-clean-from-public-page
dmx-retail-exchange-policy,data/ecommerce/dmx-retail-exchange-policy.md,Chính sách đổi sản phẩm tại TGDĐ và Điện Máy Xanh,TGDĐ/Điện Máy Xanh,buyer,exchange-policy,vi,https://www.dienmayxanh.com/chinh-sach-bao-hanh-san-pham,2026-09-20,source-page-updated-2023-09-01,public-official-source,manual-clean-from-public-page
hacom-general-terms,data/ecommerce/hacom-general-terms.md,Chính sách và quy định chung HACOM,hacom,both,website-terms,vi,https://hacom.vn/chinh-sach-quy-dinh-chung,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
hacom-warranty-process,data/ecommerce/hacom-warranty-process.md,Quy trình và điều kiện bảo hành HACOM,hacom,buyer,warranty-policy,vi,https://hacom.vn/chinh-sach-bao-hanh,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
hacom-warranty-special-return,data/ecommerce/hacom-warranty-special-return.md,Chính sách bảo hành và đổi trả đặc biệt HACOM,hacom,buyer,warranty-return-policy,vi,https://hacom.vn/chinh-sach-bao-hanh-chi-tiet,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
lazada-joint-inspection-both,data/ecommerce/lazada-joint-inspection-both.md,Chính sách đồng kiểm Lazada - Giới thiệu chung,Lazada,both,joint-inspection-policy,vi,https://sellercenter.lazada.vn/helpcenter/s/faq/knowledge?&language=vi&m_station=BuyerHelp&questionId=1000149544&hybrid=1&flag=tempWebview,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
lazada-joint-inspection-buyer,data/ecommerce/lazada-joint-inspection-buyer.md,Quy định đồng kiểm Lazada cho người mua,Lazada,buyer,joint-inspection-policy,vi,https://sellercenter.lazada.vn/helpcenter/s/faq/knowledge?&language=vi&m_station=BuyerHelp&questionId=1000149544&hybrid=1&flag=tempWebview,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
lazada-joint-inspection-seller,data/ecommerce/lazada-joint-inspection-seller.md,Quy định đồng kiểm Lazada cho người bán,Lazada,seller,joint-inspection-policy,vi,https://sellercenter.lazada.vn/helpcenter/s/faq/knowledge?&language=vi&m_station=BuyerHelp&questionId=1000149544&hybrid=1&flag=tempWebview,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
shopee-return-refund-policy,data/ecommerce/shopee-return-refund-policy.md,Chính sách đổi trả và hoàn tiền Shopee,Shopee,both,returns-policy,vi,https://banhang.shopee.vn/edu/article/563,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
shopee-warranty-policy,data/ecommerce/shopee-warranty-policy.md,Chính sách bảo hành cho sản phẩm mua tại Shopee,Shopee,buyer,warranty-policy,vi,https://help.shopee.vn/portal/4/article/79046-[Quy-%C4%91%E1%BB%8Bnh]-Ch%C3%ADnh-s%C3%A1ch-b%E1%BA%A3o-h%C3%A0nh-cho-s%E1%BA%A3n-ph%E1%BA%A9m-mua-t%E1%BA%A1i-Shopee,2026-09-20,not-stated,public-official-source,manual-clean-from-public-page
